,question1,question2,is_duplicate
250366,What are the tips for clearing Google Summer of Code?,How can I crack GSOC-Google Summer of Code?,1
112801,How does social security rule monocular vision?,Will you be approved for social security with monocular vision?,1
13679,Which AMD FX series laptop is equal to Intel i7 in all aspects?,Which is better: AMD FX vs i5?,0
207849,What is an addictive personality?,What is a non-addictive personality?,0
171197,What are the most critical metrics To measure the success of a content based mobile app?,What instrumental does Dr. Dre use in his commercial with Kendrick Lamar for Beats By Dre?,0
213868,What are some tips for becoming a more avid reader?,How do i become an avid reader?,1
2320,What is the true meaning of freedom according to you?,What does Freedom mean to you? Are we really free?,0
4601,What is the best resources for learning SAP Hana?,What are the best websites to learn SAP HANA?,1
73431,"What is the real story behing ""Sonam Gupta Bewafa hai""?",Why are 'Sonam Gupta Bewafa Hai' jokes are trending on Facebook/Twitter?,0
42534,How are Herbalife shakes made and how healthy are they?,What is the best blender for Herbalife shakes and why? How do you make Herbalife shakes?,1
143480,Why does the refrigerator not work but the freezer does?,Why is my refrigerator not working but my freezer is?,1
364400,How could we measure pole strength of a magnet?,If the pole strength of a magnet is equal and opposite then how do some magnets have a pole strength?,0
403811,What are good business opportunities in indore?,What are some good business opportunities in Varanasi?,0
303520,What are some books that help improve our English?,What are some good books or resources to improve English?,1
360846,"I'm bulking up. If I intake 3,000 calories per day for a week, how much weight will I gain in 7 days?",How do I gain healthy weight if I am vegan?,0
200876,What is the step to creat Android app?,What are the steps to develop an Android app?,1
236989,Where can I find dumps for OCJP 1.8 version?,What is the OCJP exam pattern?,0
296773,"What is the Sahara, and how do the average temperatures there compare to the ones in the Kalahari Desert?","What is the Sahara, and how do the average temperatures there compare to the ones in the Dasht-e Margo?",1
153605,What are some tips on making it through the job interview process at M/I Homes?,What are some tips on making it through the job interview process at LGI Homes?,0
38493,What would Revan do in the Marvel Cinematic Universe?,What is Thanos' backstory in the Marvel Cinematic Universe?,0
168769,How did Donald Trump win the 2016 Presidential Election?,"In your opinion, who won the first Trump–Clinton U.S. Presidential debate?",0
323092,Do people get uncomfortable being around someone who is outgoing and unashamed?,Why do people believe in someone who is practically not there (God) but do not believe in people around them?,0
87375,I appeared for M.A. Economics entrances this year but wasn't able to get through. I don’t want to start working yet. What should I do?,I am dropping a year to appear for M.A. Economics entrances next year. What can I do side by side? I don't wish to start working yet.,1
391936,How did the first RNA or DNA molecules form?,What are three ways in which RNA differs from DNA?,0
226639,What are the pros and cons of the new GST bill in India?,What are the pros and cons of GST bill as per a common man?,1
7461,Is it normal to have a blue ring around the eyes?,"I've seen yellowish brown coloured ring around my iris, which does not distinct from iris, is this normal?",0
291772,What is this model’s name?,What is this name?,0
273842,"I've seen many disabilities, that have asocial and introvert as symptoms, can someone with no disabilities or disorders that are normal, be like this?","I've seen many disabilities that have asocial and introvert as symptoms, can someone with no disabilities or disorders that are, normal, be like this?",1
322890,How is demonetizing 500 and 1000 rupees notes effecting temples ?,How did demonetization of 500 and 1000 rupees notes affects you?,0
69821,What is the best story you can write in only one line in malayalam?,What is the best story you can write in only one line in hindi?,0
333049,How does foursquare work?,How is foursquare doing?,0
155105,What was the best general purpose artillery piece during WW2?,What were the most advanced weapon systems during WW2?,0
264425,European governments have a policy of supporting farm incomes with artificially higher prices for certain foodstuffs. What are the economic effects of this on Europe and the rest of the world?,"Using a demand and supply diagram, analyse why a fall in incomes may reduce the market price of houses. How would I make this graph?",0
94990,What is generally considered a good advertising CPM?,What is a good strategy to get a high CTR on Linkedin for CPM ads?,0
214026,What do the characteristics of the essential fatty acids include?,What are the essential fatty acids?,0
60494,I've read that movies like the Wizard of Oz and Alice in Wonderland are being used to program our brain. How do we get out?,What does The Wizard of Oz look like?,0
254192,"What happens to the Indian students trying to pursue Masters of PHD in USA, now that Trump is the president?",What does a Trump presidency mean for Indian students looking to pursue Master's degrees in USA?,1
85981,Is 100Mbps internet considered slow?,Why is the WiFi Internet so slow on my iPad?,0
385401,What is the best way to dye black fabric black?,What is the best way to dye black fabric white?,0
355066,What is wrong with Indian education system? How can we improve it?,How can we improve India's current education system?,1
165984,What jobs can one qualify for with Retail District Manager experience? (Career Growth),How do I design ice cream parlour?,0
1248,What is the name of the creepiest horror movie you've ever seen? Which was the scariest part?,What is the scariest or creepiest movie you have ever seen?,1
318744,How can I deal with others?,How can I deal with vermiphobia?,0
68632,How can I identify my strength and weakness?,"How can I know myself, including my strength and weakness?",1
124784,Should I enroll at a Java or C#/.NET bootcamp at 43 yo to land a new job?,Which are the best European vacation spots?,0
224759,What are the things you think you can't do?,"What are the things you think you should do, but you don't?",0
58485,What is the ground in an electrical circuit?,What we add ground in a circuit?,1
99752,"In ""His Last Vow"" Mycroft says ""here be dragons"" in the scene when both Sherlock and Mycroft are smoking. Does that mean he knows about Moriarty?","In the popular TV series Sherlock, in season 2 episode 1 ""Scandal In Belgravia"", when Sherlock is about to be hired by the British Royalty, what does Mycroft mean when he says ""I'll be mother"" to which Sherlock replies ""and there's the whole childhood in a nutshell""?",0
376297,"If I stamped the signature line on a check in the wrong place, could someone legally cash it?",Can I ship books under 13oz by just placing a stamp on it and putting it in the Blue Postal Service mail boxes?,0
348034,Which organs can a human live without? Why is that?,Can a human being survive without fruit?,0
195370,What are some lesser-known musical gems from the 1960s?,What are some lesser-known musical gems from the 2000s?,0
101727,Does the twitch of an eye really mean something?,"According to superstition, what does it mean when your right eye jumps?",1
264180,How long will my jaundice last?,How long does jaundice last?,1
78121,How do I cancel the wrong transaction in Paytm?,How many transactions happen via Paytm QR code?,0
117943,How does a top-less shoot get done in India for models & actresses?,Who are the lesser popular beautiful models/actress of India?,0
272270,What is the best logical/mathematical book to learn about logical/mathematical intelligence?,What is a good book to start learning about logic?,0
288327,Is meditation dangerous and should I do it?,Is meditation very dangerous?,1
238726,What is your favorite x-files season and why?,What is your favorite season and why is it your favorite?,0
192034,What is a good substitute for cheese on a pizza?,What are some good substitutes for parmesan cheese in a pizza?,0
300156,Where can I watch upcoming dragon ball super episode 55 in english sub?,From where can I download episodes of Naruto Shippuden subbed in English from episode number 400?,0
104429,Why was cyrus mistry removed?,Why has the Tata Sons Board voted to remove Cyrus Mistry as chairman?,1
295348,Does meditation have any scientifically proven benefits?,What are the cognitive benefits of meditation?,0
51385,What are Quora credits?,How can I earn more credits on Quora?,0
50161,Can I use the Apple Watch without an iPhone?,Can we use Apple watch without using iPhone?,1
1067,Trading opportunities in srilanka?,What should I do to finding a job in finance field?,0
73304,Which is the best company for a chemical engineer in India?,Which college is best for chemical Engineering in India?,0
255434,"Is it possible to get an internship at the end of my 3rd semester? I'm a petroleum engineering student. And if yes, then what exactly do I need?",Is the action in the Star Wars prequels is what drove people to them at first?,0
5663,What suggestion should i given to my younger sister as she leaving home first time for her further education in the urban area?,Would an LoR written by a colleague who's experience is lesser than the person who's applying be considered for schools like Harvard?,0
239797,What types of questions will Akamai ask in the first round for platform engineer?,What types of questions will Akamai ask in the first round?,0
18277,Why does meat get spoiled when you damage the organs of a deer?,Why insect pesticide like 'all out' ban in USA?,0
151700,"What is the cheapest, painless, easiest way to commit suicide?",What is the least painful and best way to commit suicide?,1
140570,Who is the mother of Cristiano Ronaldo's child?,Is Cristiano Ronaldo actually gay?,0
74883,Was I emotionally abused by my boyfriend and then I became the abuser to him?,Am I being emotionally abused by my boyfriend?,0
364211,What does line integral mean in complex plane?,Can you help cat’s?,0
281196,What are the basic differences between Democrats and Republicans in American politics? Does either party support leftist ideologies?,Whats is the basic difference between democratic and republican and American politics?,1
90630,"If Donald Trump wins the presidency, would Congress allow him to ban all Muslims? What would happen to the Muslims that are US citizens?",Is Donald Trump likely to win the 2016 election (late 2015 / early 2016)?,0
312093,What phone should I buy under Rs 15000?,Which mobile phone is the best under 15k?,1
116355,How do people write mathematics equations on Quora?,How do you use LaTeX mathematical notation for formulae on Quora?,0
89474,What's your favorite TV series?,Which is your favorite TV series? And why?,1
48555,"What does Joyce mean by, ""Stately, plump Buck Mulligan came from the stairhead, bearing a bowl of lather on which a mirror and a razor lay crossed.""?","What gets a body clean, is it the soap alone or the process of lathering the soap on the body?",0
331928,How to transfer a wordpress powered site to Amazon Web Services?,What is the easiest way to transfer a site to Amazon Web Services?,0
35559,How do I become a good teacher/tutor?,How I become a good teacher?,1
174145,What is the best coaching institute for gmat in Delhi?,What are the best GMAT coaching in Delhi/NCR where I can get all the facilities?,1
322043,Why do so many people ask questions on Quora that can be found in a Google search?,Why should we use Quora when we can Google everything?,1
267258,Has anyone appeared in the BARC Technical Officer Electronics exam? What is the pattern of the exam?,How should I prepare for BARC scientific officer's online exam for ECE?,0
174134,How do I hack shadow fight 2 on android?,How do I hack Shadow Fight 2?,1
352384,"With a salary of only Rs 60,000/month, how can one afford to live in Mumbai?","With a salary of only rs 20,000/month how can one afford to live in mumbai?",0
157688,What were the reasons that the Civilian Conservation Corps primarily work on water projects?,What is the scope of soil and water conservation engineering?,0
143033,What is the difference between social network and virtual community?,What's the difference between social networks and social media?,0
140574,What are the servicing and maintenance costs of a new Mercedes Benz C Class 220 in India (Pune)?,"Amongst the Mercedes S-class & the BMW 7 series, which is more costly for maintenance & service?",0
109987,I want to know people checking on my WhatsApp profile?,Can I know who visited my whatsapp profile?,1
122437,What are the best suspense thriller movies?,Which are the best suspense and thriller movies?,1
101085,Why do people ask questions on Quora while They can get all the answers by Googling?,Why do so many people ask questions on Quora that can be easily answered by any number of legitimate sources on the Web? Have they not heard of Google or Bing?,1
340296,Why does the earth rotate and what happens if it stops rotating?,What would happen if the Earth stopped rotating?,1
86766,What are good websites to learn how to bake?,What are some good baking recipes that use cake-flavored vodka?,0
383682,"How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Registan Desert?","How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Atacama Desert?",1
282009,What is the probability of getting 2 queens in drawing 2 cards from 2 decks of card?,2 cards are picked from a deck of 52 cards. What is the probability of picking 2 blacks or 2 clubs?,0
73222,How did schools in the 1930s teach chemistry?,How did schools in the 1930s teach physics?,0
165516,What animals begin with the letter X?,What are some animals that begin with the letter U?,0
152211,Does Golden Guide is better than Xam idea for class 10 cbse?,Which guide should I use for 10 CBSE SST?,0
76147,Does your alma mater matters in getting considered for admission into the Top BSchools across the world?,Can I call my college my Alma Mater? Or does it has to be an university?,0
381970,Where else can you work as a pilot besides the airlines?,Where can you watch the pilot of Adventure Time?,0
31638,What are some awesome things to do in Copenhagen that are not in the standard guide books?,What are some awesome things to do in Malmö that are not in the standard guide books?,0
192812,How and when did you lose your virginity?,When did you lose your Virginity?,1
316984,Did the actor who plays Gunther on Friends also play Bryce on All My Children?,Whom would you cast if you were to make movie on Mahabharata in Hollywood/Indian cinema?,0
366477,How does Vitamin C prevent pregnancy?,How does Vitamin C benefit skin?,0
1106,Can I do meditation all day long? Does it help to improve my motivation?,Does meditation really help in controlling thoughts? How can I do it on my own?,1
74516,"Which one women's talent/position overshadows her beauty and Hotness? And if you were to date her, how would you prepare yourself, if she'd be more attractive than you are","If a woman texts back ""Aw, that's very sweet, thank you"" when you text her about how hot she looks in a photo, are you getting blown off?",0
239943,What's the best way to read a technical book?,What is the best way to read technical books?,0
48749,What is it that we as Indians are collectively doing wrong?,What is it that we Indians are collectively doing wrong?,1
370535,How can we transfer money from SBI Bank account to another SBI Bank account through online?,"I have an SBI account in another state, but don't have a cheque book or net banking activated.How do I withdraw money or transfer to another account?",0
258747,Would it be wrong to ask your spouse if they love you?,Is it wrong to love someone?,0
144772,What are derivatives and integration?,What is the derivation for the integral of a^x?,0
339256,"Is algorithms more like an intuitive subject? Something like, if you don't have that intuition you won't be able to think beyond one level? You can definitely learn, but learning can only take you up to certain level, after that it's all about intuition and imagination?","Is it true that if you keep on visualizing or thinking about something, you wont be able to attain it? My Professor said that research supports him.",0
226722,What are the career options after electrical engineering excluding joining the MNCs?,What are the career options for an electrical and electronics engineer in the IOT field?,1
188009,How much money do uber drivers in Cincinnati?,How much money do uber drivers make in Cincinnati?,1
130923,What will be Hillary Clinton's immigration policies be like?,What will Hillary Clinton do about Immigration as President?,1
321253,What is the chemical formula for vanadium hydroxide?,What's hydroxide chemical formula?,0
235928,What are the differences between tanning and regular lotion?,What are the differences between tanning lotion and regular lotion?,1
323564,Who is winning the US presidental election?,Who will win the US election?,1
387221,How do you find your list of recently watched videos on Amazon Prime Instant Video?,What are the best free movies on Amazon Prime?,0
254011,Do Instacart & Postmates really have sustainable business models?,What is the business model of payments banks in India? How is it a sustainable model when they cannot lend?,0
42618,What gear do I need to buy before snowboarding for the first time?,How do I reach auli and where to rent a snowboard? And how much is the charge or renting of a snowboard with all the gear?,0
214294,"Is it possible to re-run ""Niles Misra Show"" around 1 pm (Red FM)?",Name some IT companies in India that believe in Talent rather than GPA or degree?,0
371024,How can I hack mobile phone?,How could you hack someone’s mobile phone?,1
400784,Should we use the death penalty for animal abuse/cruelty?,Why does the US use the death penalty?,0
324585,How do I use copyrighted images legally for blogging?,Can I use Google images in my website?,1
395723,Why does PHP include not working any more?,Why doesn't ICAI take any action against the Big 4 s for making interns work more than 35 hours a week?,0
107849,How do I get a job after my B.Tech in India through off-campus?,How do I get a job off campus with B. Tech in mechanical?,0
91950,Is it possible to get multiple PhD's?,Is it possible to earn two PhDs at the same time?,0
279426,Daniel Ek: When will you launch Spotify in India?,Daniel Ek: When is Spotify coming to India?,1
237931,How do you see allowing 100% Foreign direct investment by Indian Government in different sectors?,Why does the Indian government forbid 100% FDI (Foreign Direct Investment)?,1
263379,"What are the best detective-based TV series, movies from all over the world?",What are the best TV detective series?,1
389567,What happens when you pluck out a white hair?,Is it true that plucking out one gray hair from its roots will bring out several other grays on your head?,0
71537,What finance professional paper should you take at 20s while in your university?,At what age did you start taking your finances seriously?,0
397153,How can I get a ride on a civilian C-130?,Flying: How can I get a ride in a C-130?,1
63739,How do you change your Tumblr URL via mobile phone?,How do I follow a tumblr user via API?,0
39932,How do I maintain my blood pressure?,How do I control blood pressure?,0
370356,"Islam: According to the Quran, God created humans to worship him, Why does god need to be worshiped?","According to Islam, God created humans to worship him, why does god need to be worshiped?",1
147793,What are some tips on making it through the job interview process at Tahoe Resources?,What are some tips on making it through the job interview process at Resource Capital?,0
256932,I have stubborn body hair especially on arms and legs. Does anyone know any products are effective for permanent hair removal?,I have pitch black hair but the hairs around my arms and body are golden blonde? Is it possible that my hair could turn naturally blonde one day?,0
221707,What were some of the social consequences of the American Civil War?,What were the causes and consequences of the American Civil War?,0
39821,Why it is so hard for me to talk to people or to start a conversation?,"I've never been more intelligent, but I've never felt dumber. How about you?",0
35589,"I have a year back in my engineering bt i want to become an officer either through cds ias or ies , will the year back affect my carrier?",Will my basic pay remain the same if I'm selected for the IAS after working as a group A officer in another department/services for around 3 years? Or will it be back to 15600 plus 5400?,0
112097,Why is China such an economic powerhouse?,Will China experience economic collapse by the 2020s?,0
324794,What are some things new employees should know going into their first day at Access National?,What are some things new employees should know going into their first day at Expedia?,0
